DBN,Demographic,Mean Scale Score
02M011,All Students,680
02M033,All Students,676
02M033,All Students,671
02M033,All Students,664
02M033,All Students,676
02M033,All Students,689
02M033,All Students,663
02M033,All Students,676
02M033,All Students,661
02M033,All Students,650
02M033,All Students,658
02M033,All Students,671
02M033,All Students,670
02M033,All Students,679
02M033,All Students,678
02M033,All Students,653
02M033,All Students,657
02M033,All Students,678
02M033,All Students,679
02M033,All Students,681
02M033,All Students,669
02M033,All Students,668
02M033,All Students,
02M033,All Students,
02M033,All Students,
02M033,All Students,
02M033,All Students,
02M033,All Students,670
02M033,All Students,674
02M040,All Students,686
02M040,All Students,697
02M040,All Students,697
02M040,All Students,695
02M040,All Students,689
02M040,All Students,674
02M040,All Students,674
02M040,All Students,677
02M040,All Students,691
02M040,All Students,694
02M040,All Students,698
02M040,All Students,694
02M040,All Students,690
02M040,All Students,696
02M040,All Students,677
02M040,All Students,679
02M040,All Students,685
02M040,All Students,697
02M040,All Students,692
02M040,All Students,688
02M040,All Students,680
02M040,All Students,
02M040,All Students,
02M040,All Students,
02M040,All Students,
02M040,All Students,
02M040,All Students,684
02M040,All Students,684
02M041,All Students,693
02M041,All Students,700
02M041,All Students,696
02M041,All Students,689
02M041,All Students,699
02M041,All Students,681
02M041,All Students,679
02M041,All Students,692
02M041,All Students,690
02M041,All Students,685
02M041,All Students,699
02M041,All Students,689
02M041,All Students,701
02M041,All Students,700
02M041,All Students,699
02M041,All Students,696
02M041,All Students,686
02M041,All Students,697
02M041,All Students,697
02M041,All Students,680
02M041,All Students,685
02M041,All Students,
02M041,All Students,
02M041,All Students,
02M041,All Students,
02M041,All Students,
02M041,All Students,688
02M041,All Students,688
02M042,All Students,681
02M042,All Students,676
02M042,All Students,663
02M042,All Students,674
02M042,All Students,672
02M042,All Students,667
02M042,All Students,664
02M042,All Students,681
02M042,All Students,667
02M042,All Students,678
02M042,All Students,682
02M042,All Students,680
02M042,All Students,679
02M042,All Students,686
02M042,All Students,672
02M042,All Students,672
02M042,All Students,665
02M042,All Students,693
02M042,All Students,687
02M042,All Students,670
02M042,All Students,677
02M042,All Students,
02M042,All Students,
02M042,All Students,
02M042,All Students,
02M042,All Students,
02M042,All Students,672
02M042,All Students,676
02M051,All Students,666
02M051,All Students,657
02M051,All Students,675
02M051,All Students,676
02M051,All Students,661
02M051,All Students,660
02M051,All Students,660
02M051,All Students,661
02M051,All Students,659
02M051,All Students,652
02M051,All Students,670
02M051,All Students,677
02M051,All Students,676
02M051,All Students,664
02M051,All Students,672
02M051,All Students,661
02M051,All Students,676
02M051,All Students,663
02M051,All Students,687
02M051,All Students,670
02M051,All Students,672
02M051,All Students,
02M051,All Students,
02M051,All Students,
02M051,All Students,
02M051,All Students,
02M051,All Students,668
02M051,All Students,665
02M059,All Students,677
02M059,All Students,683
02M059,All Students,680
02M059,All Students,673
02M059,All Students,680
02M059,All Students,671
02M059,All Students,676
02M059,All Students,685
02M059,All Students,677
02M059,All Students,677
02M059,All Students,684
02M059,All Students,677
02M059,All Students,690
02M059,All Students,692
02M059,All Students,661
02M059,All Students,677
02M059,All Students,676
02M059,All Students,681
02M059,All Students,686
02M059,All Students,677
02M059,All Students,678
02M059,All Students,
02M059,All Students,
02M059,All Students,
02M059,All Students,
02M059,All Students,
02M059,All Students,679
02M059,All Students,682
02M077,All Students,700
02M077,All Students,720
02M077,All Students,722
02M077,All Students,709
02M077,All Students,695
02M077,All Students,690
02M077,All Students,686
02M077,All Students,700
02M077,All Students,708
02M077,All Students,722
02M077,All Students,717
02M077,All Students,710
02M077,All Students,704
02M077,All Students,713
02M077,All Students,708
02M077,All Students,706
02M077,All Students,700
02M077,All Students,728
02M077,All Students,716
02M077,All Students,693
02M077,All Students,687
02M077,All Students,
02M077,All Students,
02M077,All Students,
02M077,All Students,
02M077,All Students,
02M077,All Students,696
02M077,All Students,695
