DBN,SCHOOL NAME,Reading,Math,Writing
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,360,364,356
13K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",375,355,384
13K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",399,417,395
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,587,659,587
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,305,364,312
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,400,417,389
13K499,ACORN COMMUNITY HIGH SCHOOL,384,364,368
13K509,FREEDOM ACADEMY HIGH SCHOOL,400,390,403
13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,s,s,s
13K553,BROOKLYN ACADEMY HIGH SCHOOL,435,383,379
13K575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,398,391,394
13K595,BEDFORD ACADEMY HIGH SCHOOL,438,443,431
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,406,391,392
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,s,s,s
13K670,BENJAMIN BANNEKER ACADEMY,471,472,448
13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",441,499,413
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,365,361,359
14K322,FOUNDATIONS ACADEMY,s,s,s
14K404,ACADEMY FOR YOUNG WRITERS,387,357,381
14K449,"BROOKLYN LATIN SCHOOL, THE",586,584,570
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,407,386,396
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,364,379,371
14K477,SCHOOL FOR LEGAL STUDIES,413,396,395
14K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",398,421,396
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,367,373,350
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,363,385,364
14K561,WILLIAMSBURG PREPARATORY SCHOOL,397,410,380
14K586,LYONS COMMUNITY SCHOOL,371,377,355
14K610,AUTOMOTIVE HIGH SCHOOL,367,376,350
14K632,FRANCES PERKINS ACADEMY,382,372,368
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,359,335,341
14K923,AUTOMOTIVE HIGH SCHOOL YABC,s,s,s
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,361,367,383
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,393,399,387
15K462,SECONDARY SCHOOL FOR LAW,398,411,394
15K463,SECONDARY SCHOOL FOR JOURNALISM,397,391,381
15K464,PARK SLOPE COLLEGIATE,379,416,380
15K497,SCHOOL FOR INTERNATIONAL STUDIES,405,415,392
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,398,402,385
15K520,PACIFIC HIGH SCHOOL,352,341,300
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,s,s,s
15K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,368,365,368
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,426,421,411
15K667,SUNSET PARK HIGH SCHOOL,s,s,s
